MEMID,HV106
005015001,Secondary
005015002,Secondary
005015003,"No education, preschool"
005015004,"No education, preschool"
005015005,Primary
005016001,Secondary
005016002,Primary
005016003,"No education, preschool"
005016004,Primary
005016005,"No education, preschool"
005017001,Secondary
005017002,Primary
005017003,Secondary
005017004,Secondary
005017005,Secondary
005018001,Primary
005018002,Primary
005018003,Secondary
005018004,Secondary
005018005,Secondary
005018006,"No education, preschool"
005019001,Secondary
005019002,Secondary
005019003,Higher
005019004,Secondary
005019005,Secondary
005019006,Primary
005019007,"No education, preschool"
005019008,Primary
005019009,"No education, preschool"
005020001,Secondary
005020002,Secondary
005020003,Secondary
005020004,Secondary
005020005,Primary
005020006,"No education, preschool"
005021001,Secondary
005022001,Secondary
005022002,Primary
005022003,Secondary
005022004,Secondary
005023001,Primary
005023002,Higher
005023003,Secondary
005024001,Primary
005024002,Primary
005024003,Secondary
005024004,Primary
006001001,Secondary
006001002,"No education, preschool"
006001003,Secondary
006001004,Secondary
006001005,Secondary
006002001,Primary
006002002,Primary
006002003,Secondary
006002004,Primary
006002005,Primary
006002006,"No education, preschool"
006003001,Primary
006003002,Primary
006003003,Primary
006003004,"No education, preschool"
006003005,"No education, preschool"
006003006,"No education, preschool"
006003007,Higher
006004001,"No education, preschool"
006004002,Primary
006004003,Primary
006004004,Secondary
006004005,Secondary
006005001,Primary
006005002,Primary
006005003,Primary
006005004,Primary
006005005,Primary
006005006,Primary
006005007,"No education, preschool"
006005008,Primary
006005009,Primary
006006001,Primary
006006002,Primary
006006003,Primary
006006004,"No education, preschool"
006006005,"No education, preschool"
006006006,Primary
006006007,"No education, preschool"
006008001,"No education, preschool"
006008002,"No education, preschool"
006008003,"No education, preschool"
006008004,Primary
006008005,Primary
006008006,Primary
006008007,"No education, preschool"
006009001,"No education, preschool"
006009002,Secondary
006009003,Secondary
006009004,"No education, preschool"
006009005,"No education, preschool"
006010001,Primary
006010002,Primary
006011001,Primary
006011002,Primary
006011003,Primary
006011004,Primary
006012001,Primary
006012002,Primary
006012003,Primary
006012004,Primary
006014001,Primary
006014002,Primary
006014003,Secondary
006014004,Primary
006014005,"No education, preschool"
006016001,"No education, preschool"
006016002,"No education, preschool"
006017001,Primary
006017002,Primary
006017003,"No education, preschool"
006017004,"No education, preschool"
006017005,"No education, preschool"
006018001,Primary
006018002,Primary
006019001,Primary
006019002,Primary
006019003,Primary
006019004,Secondary
006019005,Secondary
006019006,Primary
006019007,Primary
006019008,Secondary
006019009,Secondary
006019010,"No education, preschool"
006020001,Primary
006020002,Primary
006020003,Primary
006020004,Primary
006020005,Secondary
