MEMID,HV106
219017002,Primary
219017003,Secondary
219017004,Secondary
219017005,Secondary
219017006,Primary
219017007,"No education, preschool"
219017008,"No education, preschool"
219018001,"No education, preschool"
219018002,"No education, preschool"
219018003,Primary
219018004,Primary
219018005,"No education, preschool"
219019001,Secondary
219019002,Secondary
219019003,Secondary
219019004,"No education, preschool"
219020001,Primary
219020002,Primary
219020003,Secondary
219021001,Secondary
219021002,Secondary
219021003,Secondary
219021004,Secondary
219022001,Primary
219022002,"No education, preschool"
219022003,Primary
219022004,Primary
219022005,"No education, preschool"
219023001,Primary
219023002,"No education, preschool"
219023003,Higher
219023004,Secondary
219023005,Secondary
219023006,Primary
219024001,Primary
219024002,Primary
219024003,Primary
219024004,Primary
219024005,Primary
219024006,"No education, preschool"
219025001,Primary
219025002,"No education, preschool"
219025003,Secondary
219025004,Primary
219025005,"No education, preschool"
219025006,"No education, preschool"
219026001,Secondary
219026002,Secondary
219026003,"No education, preschool"
219027001,Primary
219027002,Primary
219027003,Primary
219027004,"No education, preschool"
219028001,Primary
219028002,Primary
219028003,Primary
219028004,Secondary
220001001,Primary
220001002,"No education, preschool"
220001003,Primary
220001004,Primary
220001005,Primary
220002001,Primary
220002002,Secondary
220002003,Primary
220002004,Secondary
220002005,Secondary
220003001,Secondary
220003002,"No education, preschool"
220003003,Secondary
220003004,Secondary
220003005,Primary
220005001,Primary
220005002,Primary
220005003,Primary
220005004,Primary
220005005,Primary
220005006,"No education, preschool"
220006001,Primary
220006002,Primary
220006003,Primary
220006004,Primary
220006005,"No education, preschool"
220007001,Primary
220007002,"No education, preschool"
220007003,Secondary
220007004,Secondary
220007005,Secondary
220007006,Primary
220007007,Primary
220007008,Primary
220008001,Primary
220008002,Primary
220008003,Primary
220009001,Primary
220009002,Secondary
220009003,"No education, preschool"
220009004,"No education, preschool"
220010001,"No education, preschool"
220010002,Primary
220010003,Secondary
220010004,Secondary
220010005,Primary
220010006,Primary
220010007,"No education, preschool"
220011001,Primary
220011002,Primary
220011003,"No education, preschool"
220011004,"No education, preschool"
220011005,"No education, preschool"
220011006,"No education, preschool"
220012001,"No education, preschool"
220012002,"No education, preschool"
220012003,Primary
220012004,Primary
220012005,Primary
220012006,"No education, preschool"
220012007,"No education, preschool"
220013001,Primary
220013002,Primary
220013003,Primary
220013004,Primary
220013005,"No education, preschool"
220014001,Primary
220014002,Primary
220014003,Primary
220015001,Primary
220015002,Primary
220015003,Primary
220015004,Secondary
220015005,Secondary
220015006,Primary
220015007,Primary
220015008,"No education, preschool"
220015009,"No education, preschool"
220016001,Primary
220016002,Primary
220016003,Secondary
220016004,Secondary
220016005,Primary
220016006,Primary
220016007,Primary
220017001,Secondary
220017002,Primary
220017003,Secondary
220018001,Secondary
220018002,Primary
220018003,Primary
220018004,Secondary
220018005,Secondary
220018006,Secondary
220019001,"No education, preschool"
220019002,Secondary
220019003,Primary
220020001,Primary
220020002,Primary
220020003,Primary
220020004,Primary
220020005,Primary
220020006,"No education, preschool"
220020007,"No education, preschool"
220022001,Primary
220022002,Primary
220022003,Secondary
220022004,Secondary
220022005,Secondary
220022006,"No education, preschool"
220022007,Secondary
220022008,Secondary
220023001,Primary
220023002,"No education, preschool"
220023003,Primary
220023004,Primary
220024001,Primary
220024002,Primary
220024003,Secondary
220024004,Primary
220024005,"No education, preschool"
220024006,Secondary
220024007,Primary
220024008,"No education, preschool"
220026001,Primary
220026002,Primary
220026003,Secondary
220026004,Secondary
220026005,Secondary
220026006,Secondary
220027001,"No education, preschool"
220027002,Primary
220027003,"No education, preschool"
220027004,"No education, preschool"
220027005,"No education, preschool"
220027006,"No education, preschool"
220028001,Primary
220028002,"No education, preschool"
220028003,Primary
220028004,Primary
220028005,"No education, preschool"
221001001,Secondary
221001002,Primary
221001003,Secondary
221001004,Primary
221001005,Secondary
221001006,Secondary
221001007,Secondary
221001008,Secondary
221001009,"No education, preschool"
221002001,Primary
221002002,"No education, preschool"
221002003,"No education, preschool"
221002004,"No education, preschool"
221003001,Secondary
221003002,Secondary
221003003,"No education, preschool"
221004001,Primary
221004002,Primary
221004003,Secondary
221004004,Secondary
221004005,"No education, preschool"
221005001,Secondary
221005002,Secondary
221005003,Higher
221005004,Secondary
221005005,Primary
221007001,Primary
221007002,Primary
221007003,Primary
221007004,Primary
221008001,"No education, preschool"
221008002,"No education, preschool"
221009001,Primary
221009002,Secondary
221009003,Secondary
221009004,Secondary
221009005,Secondary
221009006,Secondary
221010001,Primary
221010002,Primary
221010003,Secondary
221010004,Primary
221010005,"No education, preschool"
221011001,Secondary
221011002,"No education, preschool"
221011003,Secondary
221011004,Secondary
221011005,Primary
221012001,Primary
221012002,Primary
221012003,Primary
221012004,Secondary
221012005,Secondary
221012006,"No education, preschool"
221013001,Secondary
221013002,Secondary
221013003,Secondary
221013004,Primary
221013005,Primary
221014001,Primary
221014002,Primary
221014003,Primary
221014004,Primary
221015001,Primary
221015002,Primary
221015003,Primary
221016001,Primary
221016002,"No education, preschool"
221016003,Secondary
221016004,Secondary
221016005,Primary
221017001,Primary
221017002,Primary
221017003,Primary
221017004,Primary
221017005,Primary
221018001,Primary
221018002,Primary
221018003,Secondary
221018004,"No education, preschool"
221018005,"No education, preschool"
221019001,"No education, preschool"
221019002,"No education, preschool"
221019003,Primary
221020001,Primary
221020002,Primary
221020003,Secondary
221021001,Primary
221021002,Primary
221021003,Primary
221021004,Primary
221021005,"No education, preschool"
221022001,Primary
221022002,Primary
221022003,Secondary
221022004,Secondary
221022005,Primary
221022006,Primary
221022007,Primary
221023001,Primary
221023002,Primary
221023003,"No education, preschool"
221023004,Primary
221023005,Primary
221024001,Secondary
221024002,"No education, preschool"
221024003,Secondary
221024004,Primary
221025001,Secondary
221025002,Secondary
221025003,"No education, preschool"
221026001,Primary
221026002,Primary
221026003,"No education, preschool"
221026004,"No education, preschool"
221026005,Primary
221027001,Secondary
221027002,Primary
221027003,Primary
221027004,Primary
221027005,Primary
221027006,Primary
221027007,"No education, preschool"
221027008,Secondary
221028001,Secondary
221028002,Secondary
221028003,"No education, preschool"
222001001,Secondary
222001002,Primary
222001003,Primary
222001004,"No education, preschool"
222002001,Primary
222002002,Secondary
222002003,Primary
222002004,"No education, preschool"
222002005,"No education, preschool"
222003001,Secondary
222003002,Secondary
222003003,Higher
222003004,Secondary
222004001,Secondary
222004002,Secondary
222004003,Secondary
222005001,Primary
222005002,Primary
222005003,"No education, preschool"
222005004,"No education, preschool"
222006001,Primary
222006002,Secondary
222006003,Secondary
222006004,"No education, preschool"
222007001,Primary
222007002,Primary
222007003,Secondary
222007004,Primary
222007005,"No education, preschool"
222007006,"No education, preschool"
222007007,Primary
222007008,Primary
222007009,"No education, preschool"
222008001,"No education, preschool"
222008002,Primary
222008003,Primary
222008004,Primary
222010001,Secondary
222010002,Secondary
222010003,Higher
222010004,Secondary
222010005,Secondary
222010006,Primary
222011001,Primary
222011002,Primary
222011003,"No education, preschool"
222011004,"No education, preschool"
222012001,Primary
222012002,Secondary
222013001,Secondary
222013002,Secondary
222013003,Primary
222013004,"No education, preschool"
222013005,"No education, preschool"
222014001,Secondary
222014002,Secondary
222014003,Primary
222014004,"No education, preschool"
222015001,Primary
222015002,Primary
222015003,Primary
222015004,"No education, preschool"
222016001,Primary
222016002,Primary
222016003,Primary
222016004,Primary
222016005,Primary
222017001,Primary
222017002,Primary
222017003,Primary
222017004,Primary
222017005,Primary
222017006,"No education, preschool"
222017007,"No education, preschool"
222018001,Secondary
222018002,Secondary
222018003,Primary
222018004,"No education, preschool"
222019001,Secondary
222019002,Secondary
222019003,Higher
222019004,Primary
222020001,Secondary
222020002,Secondary
222020003,Secondary
222020004,Primary
222020005,"No education, preschool"
222021001,Secondary
222021002,Primary
222022001,Secondary
222022002,Secondary
222022003,Primary
222022004,"No education, preschool"
222022005,"No education, preschool"
222024001,Secondary
222024002,Secondary
222024003,Secondary
222024004,Secondary
222024005,Primary
222024006,"No education, preschool"
222025001,Primary
222025002,Primary
222025003,Secondary
222025004,Secondary
222025005,Primary
222025006,Primary
222025007,Primary
222025008,"No education, preschool"
222025009,"No education, preschool"
222026001,Primary
222026002,Primary
222026003,Primary
222026004,"No education, preschool"
222026005,"No education, preschool"
222027001,Primary
222027002,Primary
222027003,Primary
222027004,Primary
222027005,Primary
222027006,Primary
222027007,Primary
222028001,Secondary
222028002,Secondary
222028003,Secondary
222028004,"No education, preschool"
223001001,"No education, preschool"
223001002,"No education, preschool"
223001003,Primary
223001004,Primary
223001005,Primary
223001006,Primary
223001007,Primary
223001008,"No education, preschool"
223002001,"No education, preschool"
223002002,"No education, preschool"
223002003,"No education, preschool"
223002004,"No education, preschool"
223003001,Primary
223003002,"No education, preschool"
223003003,Primary
223003004,Primary
223003005,"No education, preschool"
223003006,"No education, preschool"
223004001,Primary
223004002,"No education, preschool"
223004003,"No education, preschool"
223004004,Primary
223004005,Primary
223004006,Primary
223005001,Primary
223005002,"No education, preschool"
223005003,Primary
223005004,Primary
223006001,"No education, preschool"
223006002,"No education, preschool"
223006003,"No education, preschool"
223007001,"No education, preschool"
223007002,"No education, preschool"
223007003,Primary
223008001,Primary
223008002,"No education, preschool"
223008003,Primary
223008004,"No education, preschool"
223008005,"No education, preschool"
223008006,"No education, preschool"
223009001,"No education, preschool"
223009002,Primary
223009003,"No education, preschool"
223010001,Primary
223010002,"No education, preschool"
223010003,Primary
223010004,Primary
223010005,"No education, preschool"
223010006,"No education, preschool"
223010007,"No education, preschool"
223011001,Primary
223011002,"No education, preschool"
223011003,Primary
223011004,Primary
223011005,"No education, preschool"
223011006,"No education, preschool"
223012001,"No education, preschool"
223012002,Primary
223012003,Primary
223012004,Primary
223012005,Primary
223012006,Primary
223012007,"No education, preschool"
223012008,Primary
223012009,"No education, preschool"
223014001,Primary
223014002,Primary
223014003,"No education, preschool"
223015001,"No education, preschool"
223015002,Primary
223015003,"No education, preschool"
223015004,"No education, preschool"
223016001,Secondary
223016002,Primary
223016003,Primary
223016004,Secondary
223016005,Primary
223017001,Primary
223017002,"No education, preschool"
223017003,"No education, preschool"
223017004,Primary
223017005,Secondary
223017006,Secondary
223017007,"No education, preschool"
223017008,"No education, preschool"
223018001,"No education, preschool"
223018002,"No education, preschool"
223018003,Primary
223018004,Primary
223018005,Secondary
223018006,Primary
223018007,"No education, preschool"
223019001,"No education, preschool"
223019002,Primary
223019003,Primary
223019004,Primary
223019005,Primary
223019006,"No education, preschool"
223019007,"No education, preschool"
223020001,"No education, preschool"
223020002,"No education, preschool"
223020003,Primary
223020004,"No education, preschool"
223020005,"No education, preschool"
223021001,Primary
223021002,"No education, preschool"
223021003,"No education, preschool"
223021004,"No education, preschool"
223022001,Primary
223022002,"No education, preschool"
223023001,"No education, preschool"
223023002,"No education, preschool"
223023003,Primary
223023004,Secondary
223023005,Primary
223023006,"No education, preschool"
223023007,"No education, preschool"
223023008,"No education, preschool"
223023009,Primary
223024001,Primary
223024002,Primary
223024003,Primary
223024004,Primary
223024005,Primary
223024006,Primary
223024007,Primary
223024008,Secondary
223024009,Secondary
223025001,Primary
223025002,"No education, preschool"
223025003,Secondary
223025004,Primary
223025005,Primary
223025006,"No education, preschool"
223025007,"No education, preschool"
223026001,"No education, preschool"
223026002,"No education, preschool"
223026003,Primary
223026004,Secondary
223026005,Primary
223026006,"No education, preschool"
223028001,"No education, preschool"
223028002,"No education, preschool"
223028003,Primary
223028004,"No education, preschool"
223028005,Secondary
224001001,Secondary
224001002,Secondary
224001003,Higher
224002001,Secondary
224002002,Secondary
224002003,Secondary
224002004,Primary
224002005,"No education, preschool"
224004001,Secondary
224004002,Secondary
224004003,"No education, preschool"
224004004,"No education, preschool"
224004005,Secondary
224004006,Secondary
224004007,Secondary
224005001,Secondary
224005002,Secondary
224005003,Secondary
224005004,"No education, preschool"
224006001,Secondary
224006002,Secondary
224006003,Primary
224006004,Higher
224007001,Higher
224007002,Secondary
224007003,"No education, preschool"
224010001,Secondary
224010002,Primary
224010003,Secondary
224010004,Secondary
224010005,Primary
224010006,Primary
224011001,Higher
224011002,Higher
224011003,Secondary
224011004,"No education, preschool"
224011005,"No education, preschool"
224011006,Higher
224011007,Higher
224011008,Primary
224012001,Secondary
224012002,Secondary
224012003,Primary
224012004,"No education, preschool"
224012005,Higher
224012006,Higher
224012007,Higher
224013001,Secondary
224013002,Secondary
224013003,Higher
224013004,Primary
224014001,Primary
224014002,Higher
224014003,Higher
224014004,Primary
224015001,Primary
224015002,Primary
224015003,Higher
224015004,Higher
224015005,Primary
224016001,Secondary
224016002,Primary
224016003,Secondary
224017001,Secondary
224017002,Primary
224017003,Secondary
224019001,Higher
224019002,Secondary
224019003,Higher
224019004,Higher
224019005,Higher
224019006,Secondary
224019007,Secondary
224020001,Primary
224020002,Secondary
224020003,Higher
224020004,Higher
224021001,Secondary
224021002,Secondary
224022001,Secondary
224022002,Secondary
224022003,Secondary
224022004,Secondary
224023001,Higher
224023002,Higher
224023003,Higher
224023004,Secondary
224023005,Primary
224023006,"No education, preschool"
224024001,"No education, preschool"
224024002,Higher
224024003,Higher
224024004,Higher
224024005,Higher
224024006,Secondary
224024007,"No education, preschool"
224024008,Secondary
225001001,Secondary
225001002,Primary
225001003,Higher
225001004,Higher
225001005,Higher
225001006,Secondary
225001007,Higher
225001008,"No education, preschool"
225001009,"No education, preschool"
225002001,Primary
225002002,Primary
225002003,Higher
225002004,Primary
225002005,Secondary
225002006,Higher
225002007,Primary
225003001,Secondary
225003002,Primary
225003003,Primary
225003004,"No education, preschool"
225003005,"No education, preschool"
225003006,"No education, preschool"
225004001,Primary
225004002,"No education, preschool"
225004003,Secondary
225005001,Primary
225005002,Secondary
225005003,Higher
225005004,Secondary
225006001,Secondary
225006002,Secondary
225006003,Primary
225006004,"No education, preschool"
225008001,Primary
225008002,Primary
225008003,Higher
225008004,Primary
225009001,Secondary
225009002,Secondary
225009003,Higher
225009004,Secondary
225009005,Secondary
225010001,Secondary
225010002,Primary
225010003,Higher
225010004,Higher
225011001,Secondary
225011002,Primary
225011003,Higher
225011004,Secondary
225011005,Secondary
225011006,Secondary
225011007,Secondary
225011008,"No education, preschool"
225012001,Primary
225012002,"No education, preschool"
225012003,Secondary
225012004,Higher
225012005,Secondary
225013001,Primary
225013002,Secondary
225014001,Secondary
225014002,Primary
225016001,Primary
225016002,Primary
225016003,Primary
225016004,Secondary
225016005,Primary
225016006,"No education, preschool"
225016007,Secondary
225016008,"No education, preschool"
225017001,Higher
225017002,Secondary
225017003,Primary
225017004,"No education, preschool"
225018001,Primary
225018002,Higher
225018003,Higher
225018004,Higher
225018005,Higher
225018006,Secondary
225018007,Primary
225018008,"No education, preschool"
225018009,"No education, preschool"
225019001,Secondary
225019002,Primary
225019003,"No education, preschool"
225020001,Primary
225020002,Secondary
225020003,Secondary
225020004,Secondary
225020005,Primary
225020006,Secondary
225021001,Secondary
225021002,Primary
225021003,Higher
225022001,Secondary
225022002,Secondary
225022003,Primary
225022004,"No education, preschool"
225023001,Secondary
225023002,Secondary
225024001,Secondary
225024002,Secondary
225024003,Higher
225024004,Secondary
225024005,Higher
225024006,Secondary
225024007,Higher
225024008,Primary
226001001,Higher
226001002,Higher
226001003,"No education, preschool"
226001004,Secondary
226001005,Higher
226002001,Higher
226002002,Secondary
226002003,Secondary
226002004,Secondary
226003001,Secondary
226003002,Higher
226003003,Higher
226003004,"No education, preschool"
226003005,Primary
226004001,Primary
226004002,Higher
226004003,Higher
226005001,Secondary
226005002,Higher
226005003,Higher
226006001,Primary
226006002,Primary
226006003,Secondary
226006004,Higher
226007001,Secondary
226007002,Secondary
226007003,"No education, preschool"
226007004,Secondary
226008001,Secondary
226008002,Primary
226008003,Higher
226012001,"No education, preschool"
226012002,"No education, preschool"
226012003,Primary
226013001,Primary
226013002,"No education, preschool"
226013003,Secondary
226013004,Secondary
226013005,Primary
226014001,"No education, preschool"
226014002,Primary
226014003,Secondary
226014004,Higher
226015001,Secondary
226015002,Secondary
226015003,Secondary
226015004,Secondary
226015005,"No education, preschool"
226016001,Higher
226016002,Secondary
226016003,Secondary
226017001,Primary
226017002,Higher
226018001,Secondary
226018002,Secondary
226018003,Secondary
226018004,Primary
226019001,Higher
226019002,Secondary
226019003,Higher
226019004,Secondary
226020001,Higher
226021001,Secondary
226021002,Secondary
226021003,"No education, preschool"
226021004,"No education, preschool"
226022001,"No education, preschool"
226022002,"No education, preschool"
226023001,Secondary
226023002,Primary
226023003,Higher
226023004,Higher
226024001,Secondary
226024002,Secondary
226024003,Primary
226024004,Primary
226024005,Secondary
226024006,Primary
227001001,Primary
227001002,Secondary
227001003,Secondary
227001004,Secondary
227001005,Primary
227001006,"No education, preschool"
227003001,"No education, preschool"
227003002,Higher
227003003,Higher
227004001,Secondary
227004002,"No education, preschool"
227004003,Secondary
227004004,Secondary
227004005,Higher
227004006,Higher
227006001,Secondary
227006002,Secondary
227006003,Higher
227006004,Secondary
227006005,Higher
227006006,"No education, preschool"
227006007,"No education, preschool"
227008001,Secondary
227008002,Secondary
227008003,"No education, preschool"
227008004,"No education, preschool"
227009001,Primary
227009002,Primary
227009003,"No education, preschool"
227009004,Higher
227009005,Higher
227009006,Higher
227010001,Secondary
227010002,Secondary
227010003,Higher
227010004,Primary
227011001,Higher
227011002,Higher
227011003,Higher
227011004,"No education, preschool"
227011005,"No education, preschool"
227011006,Secondary
227011007,Primary
227011008,Primary
227011009,Primary
227012001,Primary
227012002,Primary
227012003,Secondary
227012004,Higher
227012005,Secondary
227012006,Primary
227012007,Primary
227012008,"No education, preschool"
227013001,Higher
227013002,Higher
227013003,Higher
227013004,Higher
227013005,Higher
227013006,"No education, preschool"
227013007,"No education, preschool"
227015001,Higher
227015002,Higher
227015003,Primary
227015004,"No education, preschool"
227015005,Primary
227016001,Primary
227016002,Primary
227016003,Secondary
227016004,Primary
227016005,"No education, preschool"
227016006,Secondary
227016007,"No education, preschool"
227017001,Primary
227017002,"No education, preschool"
227017003,Secondary
227017004,Primary
227017005,Primary
227017006,Primary
227017007,Primary
227017008,Primary
227017009,Primary
227017010,"No education, preschool"
227018001,Secondary
227018002,Primary
227018003,Secondary
227018004,Primary
227018005,Primary
227019001,Primary
227019002,"No education, preschool"
227019003,Primary
227019004,Primary
227019005,Primary
227019006,"No education, preschool"
227020001,"No education, preschool"
227020002,Primary
227020003,Primary
227020004,Primary
227020005,"No education, preschool"
227021001,Primary
227021002,Secondary
227021003,"No education, preschool"
227021004,Primary
227021005,Primary
227021006,"No education, preschool"
227022001,"No education, preschool"
227022002,"No education, preschool"
227022003,Primary
227022004,Secondary
227022005,Primary
227022006,Primary
227023001,Primary
227023002,"No education, preschool"
227023003,"No education, preschool"
227023004,Secondary
227023005,Secondary
227023006,Secondary
227023007,Primary
227023008,Secondary
227023009,Secondary
227023010,Secondary
227023011,Secondary
227024001,Primary
227024002,Primary
227024003,Primary
227024004,Secondary
227024005,Secondary
227024006,Secondary
227024007,Primary
227024008,Primary
227024009,Primary
227024010,Primary
228001001,Secondary
228001002,Secondary
228001003,Primary
228001004,Primary
228002001,Secondary
228002002,"No education, preschool"
228002003,Higher
228002004,Higher
228002005,Primary
228004001,Higher
228004002,Higher
228004003,Secondary
228004004,Higher
228004005,Primary
228005001,Secondary
228005002,Secondary
228005003,Higher
228005004,Higher
228006001,Secondary
228006002,Secondary
228006003,Higher
228006004,Higher
228007001,Secondary
228007002,Primary
228008001,Secondary
228008002,Primary
228008003,Higher
228008004,Higher
228008005,Higher
228008006,Higher
228008007,Secondary
228009001,Higher
228009002,Higher
228009003,Secondary
228010001,Secondary
228010002,Secondary
228010003,Higher
228011001,Primary
228011002,Primary
228011003,"No education, preschool"
228011004,"No education, preschool"
228012001,Higher
228012002,Primary
228012003,Higher
228012004,Secondary
228012005,Secondary
228012006,Higher
228012007,Primary
228012008,Primary
228012009,"No education, preschool"
228012010,"No education, preschool"
228012011,"No education, preschool"
228012012,"No education, preschool"
228012013,Higher
228014001,Secondary
228014002,Primary
228014003,Secondary
228014004,Primary
228015001,"No education, preschool"
228015002,"No education, preschool"
228015003,"No education, preschool"
228015004,Primary
228016001,Primary
228016002,"No education, preschool"
228016003,Secondary
228016004,Secondary
228016005,Secondary
228016006,Secondary
228016007,Primary
228017001,Primary
228017002,Primary
228017003,Secondary
228017004,Primary
228017005,Secondary
228017006,"No education, preschool"
228017007,"No education, preschool"
228017008,"No education, preschool"
228017009,"No education, preschool"
228018001,Secondary
228018002,"No education, preschool"
228018003,Secondary
228018004,Primary
228018005,Higher
228018006,Higher
228018007,Primary
228019001,Higher
228019002,Higher
228019003,Primary
228019004,Primary
228019005,"No education, preschool"
228020001,Higher
228020002,Higher
228020003,"No education, preschool"
228020004,Primary
228021001,Secondary
228021002,Primary
228021003,Secondary
228022001,Secondary
228022002,Higher
228022003,Higher
228022004,Higher
228023001,Secondary
228023002,Primary
228023003,Higher
228023004,Higher
228023005,Secondary
228024001,Secondary
229001001,Secondary
229001002,Secondary
229002001,Primary
229002002,Secondary
229002003,Secondary
229002004,Secondary
229003001,Secondary
229003002,Secondary
229003003,Higher
229003004,Higher
229003005,Secondary
229004001,Secondary
229004002,Secondary
229004003,Higher
229005001,Secondary
229005002,Primary
229005003,Secondary
229005004,Primary
229005005,Primary
229007001,Secondary
229007002,Higher
229008001,Primary
229008002,Primary
229008003,Secondary
229008004,Secondary
229008005,Secondary
229008006,Secondary
229009001,Secondary
229009002,Primary
229009003,Higher
229009004,Higher
229009005,Primary
229010001,Higher
229010002,Secondary
229010003,Primary
229011001,Higher
229011002,Higher
229011003,Primary
229012001,Primary
229012002,Primary
229012003,Secondary
229012004,Secondary
229012005,Secondary
229012006,Secondary
229012007,Secondary
229012008,Primary
229012009,Higher
229013001,Higher
229013002,Higher
229013003,Higher
229013004,Higher
229014001,Primary
229014002,Primary
229014003,Primary
229014004,Secondary
229014005,Secondary
229014006,Secondary
229014007,Secondary
229014008,"No education, preschool"
229014009,Secondary
229014010,Secondary
229014011,"No education, preschool"
229015001,Primary
229016001,Higher
229016002,"No education, preschool"
229016003,Secondary
229016004,Secondary
229016005,Secondary
229016006,Secondary
229017001,Secondary
229017002,Secondary
229017003,Higher
229017004,Higher
229017005,Higher
229017006,"No education, preschool"
229017007,"No education, preschool"
229018001,Secondary
229018002,Primary
229018003,Higher
229018004,Higher
229019001,Secondary
229019002,Higher
229019003,Secondary
229019004,Higher
229019005,"No education, preschool"
229019006,Higher
229019007,Higher
229020001,Secondary
229020002,Higher
229020003,Higher
229020004,Secondary
229020005,Secondary
229020006,Secondary
229021001,Higher
229021002,Higher
229021003,Higher
229021004,Higher
229021005,Secondary
229021006,Secondary
229021007,Primary
229021008,"No education, preschool"
229022001,Primary
229022002,Secondary
229022003,Primary
229022004,Secondary
229022005,Higher
229022006,Secondary
229023001,Primary
229023002,Higher
229023003,Primary
229023004,Primary
229024001,Primary
229024002,Primary
230001001,Higher
230001002,Secondary
230001003,"No education, preschool"
230001004,Higher
230001005,Higher
230001006,Secondary
230002001,Secondary
230002002,Secondary
230002003,Primary
230002004,Higher
230002005,Primary
230002006,"No education, preschool"
230002007,Secondary
230002008,Primary
230002009,Primary
230003001,Primary
230003002,Primary
230003003,Higher
230003004,Higher
230003005,Secondary
230004001,Secondary
230004002,Primary
230004003,Secondary
230004004,Secondary
230004005,Primary
230005001,Secondary
230005002,Higher
230006001,Primary
230006002,Primary
230006003,Secondary
230006004,Secondary
230006005,Primary
230007001,Higher
230008001,Higher
230008002,Higher
230008003,Primary
230009001,Higher
230010001,Secondary
230010002,Secondary
230010003,Higher
230010004,Higher
230010005,Higher
230010006,Higher
230010007,"No education, preschool"
230010008,Secondary
230010009,Secondary
230011001,Secondary
230011002,Primary
230011003,Higher
230011004,Higher
230012001,Secondary
230012002,Secondary
230012003,Primary
230012004,"No education, preschool"
230013001,Higher
230013002,Secondary
230013003,"No education, preschool"
230013004,"No education, preschool"
230014001,Secondary
230014002,Secondary
230014003,Secondary
230015001,Secondary
230015002,Secondary
230015003,Secondary
230015004,Secondary
230015005,Primary
230016001,Secondary
230016002,Secondary
230016003,Higher
230016004,Secondary
230017001,Primary
230017002,Secondary
230017003,Secondary
230018001,Higher
230018002,Secondary
230018003,Primary
230018004,"No education, preschool"
230018005,Higher
230019001,Secondary
230019002,Secondary
230019003,"No education, preschool"
230019004,"No education, preschool"
230019005,Secondary
230019006,Secondary
230020001,Higher
230020002,Secondary
230020003,Primary
230021001,"No education, preschool"
230021002,Primary
230022001,Secondary
230022002,Primary
230022003,Higher
230022004,Secondary
230022005,Higher
230022006,Secondary
230023001,Higher
230023002,Secondary
230023003,Higher
230024001,Secondary
230024002,Primary
230024003,Higher
230024004,Higher
230024005,Higher
231001001,Primary
231001002,Primary
231001003,Secondary
231001004,Secondary
231001005,Secondary
231001006,Secondary
231001007,Primary
231001008,"No education, preschool"
231002001,Higher
231002002,Higher
231002003,Secondary
231002004,Higher
231002005,Higher
231002006,Secondary
231002007,Primary
231002008,Primary
231003001,Secondary
231003002,Primary
231003003,Secondary
231003004,Higher
231003005,"No education, preschool"
231003006,Higher
231003007,Primary
231003008,Secondary
231004001,Secondary
231004002,Secondary
231004003,Higher
231004004,Secondary
231004005,Primary
231004006,Higher
231004007,Higher
231005001,Higher
231005002,Secondary
231005003,Higher
231005004,Higher
231005005,Secondary
231005006,"No education, preschool"
231005007,Higher
231006001,Higher
231006002,Higher
231006003,Higher
231006004,"No education, preschool"
231006005,Higher
231006006,Primary
231006007,Higher
231007001,Higher
231007002,Higher
231007003,Secondary
231007004,Higher
231007005,Higher
231007006,Secondary
231007007,Secondary
231007008,Higher
231007009,Secondary
231007010,"No education, preschool"
231008001,Secondary
231008002,Secondary
231008003,Secondary
231008004,Higher
231008005,Higher
231008006,Secondary
231008007,Higher
231008008,"No education, preschool"
231009001,Primary
231009002,Secondary
231009003,Secondary
231009004,Secondary
231009005,Primary
231009006,Secondary
231010001,Primary
231010002,"No education, preschool"
231010003,Secondary
231010004,Primary
231010005,Primary
231010006,Primary
231010007,Secondary
231010008,Secondary
231010009,Primary
231010010,Primary
231011001,Primary
231011002,Secondary
231012001,Higher
231012002,Secondary
231012003,Higher
231012004,Higher
231012005,"No education, preschool"
231013001,Secondary
231013002,"No education, preschool"
231013003,Secondary
231013004,Higher
231013005,Primary
231013006,Primary
231014001,Secondary
231014002,Primary
231014003,Higher
231014004,Secondary
231014005,Secondary
231014006,Secondary
231014007,Secondary
231015001,Secondary
231015002,Secondary
231015003,Secondary
231015004,Secondary
231015005,Secondary
231015006,Secondary
231015007,Primary
231015008,"No education, preschool"
231015009,Primary
231015010,Primary
231015011,Primary
231015012,Primary
231016001,"No education, preschool"
231016002,Higher
231016003,Secondary
231016004,Secondary
231016005,Higher
231016006,Secondary
231016007,Secondary
231017001,Primary
231017002,Secondary
231017003,Secondary
231017004,"No education, preschool"
231017005,Secondary
231018001,Primary
231018002,Primary
231019001,Higher
231019002,Higher
231019003,Higher
231021001,Primary
231021002,Primary
231021003,Higher
231021004,Higher
231021005,Higher
231021006,Secondary
231021007,Secondary
231022001,Secondary
231022002,Secondary
231022003,Higher
231022004,Secondary
231022005,Primary
231022006,"No education, preschool"
231023001,Secondary
231023002,Secondary
231023003,Higher
231023004,Higher
231023005,Primary
231023006,Primary
231023007,"No education, preschool"
231023008,Primary
231024001,Primary
231024002,Higher
231024003,Higher
231024004,Higher
231024005,Primary
231024006,Primary
231024007,Primary
231024008,Higher
231024009,"No education, preschool"
231024010,"No education, preschool"
232001001,Primary
232001002,Primary
232001003,Primary
232001004,Primary
232001005,Primary
232001006,Higher
232001007,Higher
232002001,Primary
232002002,Primary
232003001,Secondary
232004001,Secondary
232005001,Secondary
232005002,Higher
232005003,Secondary
232005004,Secondary
